"Quantity","Quantity"
"Changes","Changes"
"In Stock","In Stock"
"Message","Message"
"User","User"
"Date","Date"
"Stock Inventory Log","Stock Inventory Log"
"Stock Inventory Logs","Stock Inventory Logs"
"Stock saved automatically","Stock saved automatically"
"Stock saved manually","Stock saved manually"
"Product ordered (order: %s)","Product ordered (order: %s)"
"Product ordered (orders: %s)","Product ordered (orders: %s)"
"Product restocked","Product restocked"
"Product import","Product import"
"Product restocked after order cancellation (order: %s)","Product restocked after order cancellation (order: %s)"
"Product restocked after credit memo creation (credit memo: %s)","Product restocked after credit memo creation (credit memo: %s)"
"Stock saved from Magento API","Stock saved from Magento API"
